epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1537.02,1.39494,0.78715,1.37075,0.8428,0.92341,0.92049,0.52495,1.54173,0.68202,1.46727,0.0007922,0.0007922,0.0007922
63,1561.81,1.39677,0.78615,1.37106,0.89223,0.88946,0.92949,0.53213,1.52461,0.69397,1.45891,0.0007724,0.0007724,0.0007724
64,1585.76,1.37372,0.77468,1.37351,0.8712,0.90415,0.92751,0.53889,1.51943,0.68099,1.46146,0.0007526,0.0007526,0.0007526
65,1609.79,1.36411,0.75569,1.36204,0.89227,0.8946,0.93053,0.5313,1.52603,0.69003,1.47352,0.0007328,0.0007328,0.0007328
66,1634.04,1.34772,0.74771,1.34839,0.89274,0.89203,0.92442,0.52781,1.54593,0.65823,1.48923,0.000713,0.000713,0.000713
67,1658.07,1.35995,0.75643,1.35497,0.88255,0.90746,0.93452,0.54128,1.52145,0.66499,1.47939,0.0006932,0.0006932,0.0006932
68,1682.18,1.35074,0.74332,1.35206,0.90691,0.86889,0.92153,0.53733,1.52843,0.66831,1.467,0.0006734,0.0006734,0.0006734
69,1706.25,1.34846,0.74996,1.35023,0.90786,0.87918,0.92288,0.54019,1.50809,0.66379,1.45343,0.0006536,0.0006536,0.0006536
70,1730.22,1.33887,0.75556,1.35426,0.91043,0.86229,0.92803,0.53943,1.52193,0.67092,1.47348,0.0006338,0.0006338,0.0006338
71,1754.73,1.32951,0.7456,1.33347,0.91643,0.88689,0.93579,0.53974,1.48449,0.66988,1.44177,0.000614,0.000614,0.000614
72,1778.86,1.34112,0.74871,1.3441,0.90069,0.88599,0.93594,0.54914,1.50378,0.64893,1.42202,0.0005942,0.0005942,0.0005942
73,1803.28,1.33694,0.75222,1.34074,0.87466,0.90488,0.93072,0.53838,1.51214,0.66311,1.44049,0.0005744,0.0005744,0.0005744
74,1827.26,1.31957,0.73406,1.33518,0.88975,0.89209,0.92946,0.53382,1.51506,0.66417,1.44349,0.0005546,0.0005546,0.0005546
75,1851.36,1.32098,0.7251,1.33209,0.91684,0.88175,0.93784,0.54441,1.50644,0.64623,1.44389,0.0005348,0.0005348,0.0005348
76,1875.42,1.31829,0.73227,1.3378,0.88412,0.90218,0.925,0.53514,1.54781,0.66881,1.46881,0.000515,0.000515,0.000515
77,1899.39,1.31494,0.72025,1.3297,0.92514,0.85347,0.92967,0.54258,1.52021,0.66284,1.46549,0.0004952,0.0004952,0.0004952
78,1923.66,1.30809,0.72397,1.33022,0.89929,0.88946,0.93415,0.54623,1.5099,0.65194,1.44864,0.0004754,0.0004754,0.0004754
79,1947.85,1.30394,0.70096,1.32323,0.88268,0.90231,0.92739,0.53822,1.52388,0.6638,1.46425,0.0004556,0.0004556,0.0004556
80,1971.98,1.29579,0.71737,1.3156,0.87192,0.90746,0.93147,0.54088,1.51741,0.65498,1.45923,0.0004358,0.0004358,0.0004358
81,1996.26,1.2847,0.70283,1.30894,0.87811,0.90743,0.92762,0.53671,1.51698,0.65822,1.47088,0.000416,0.000416,0.000416
82,2020.15,1.29084,0.69469,1.31859,0.89568,0.88287,0.9225,0.53766,1.50373,0.66344,1.44776,0.0003962,0.0003962,0.0003962
83,2044.42,1.2806,0.70835,1.31821,0.86469,0.91003,0.93084,0.53978,1.51924,0.67077,1.44298,0.0003764,0.0003764,0.0003764
84,2083.79,1.26568,0.70443,1.31242,0.88814,0.89809,0.93221,0.55037,1.51102,0.65626,1.45605,0.0003566,0.0003566,0.0003566
85,2108.61,1.26619,0.6944,1.30835,0.86439,0.92031,0.9346,0.54356,1.50398,0.64998,1.44849,0.0003368,0.0003368,0.0003368
86,2132.75,1.2617,0.679,1.30074,0.89747,0.88175,0.93204,0.55073,1.50185,0.6363,1.45499,0.000317,0.000317,0.000317
87,2156.82,1.26667,0.69309,1.30516,0.90419,0.88946,0.93558,0.54745,1.50521,0.64,1.46323,0.0002972,0.0002972,0.0002972
88,2181.15,1.24967,0.68801,1.29245,0.86466,0.90331,0.93354,0.55046,1.50724,0.64915,1.4657,0.0002774,0.0002774,0.0002774
89,2205.44,1.24475,0.67098,1.28577,0.89186,0.89044,0.93468,0.54986,1.50973,0.63272,1.46668,0.0002576,0.0002576,0.0002576
90,2229.62,1.25285,0.67595,1.29305,0.88529,0.90488,0.93373,0.55276,1.50452,0.63575,1.45649,0.0002378,0.0002378,0.0002378
91,2293.98,1.22713,0.55454,1.27726,0.8735,0.89974,0.93061,0.5434,1.52548,0.66545,1.45972,0.000218,0.000218,0.000218
92,2317.54,1.19434,0.52697,1.25889,0.88891,0.88432,0.93546,0.54538,1.50953,0.65445,1.44386,0.0001982,0.0001982,0.0001982
93,2341.32,1.19328,0.52922,1.25377,0.87862,0.88689,0.93384,0.54029,1.53077,0.65948,1.45848,0.0001784,0.0001784,0.0001784
94,2365.2,1.1799,0.52157,1.24911,0.88233,0.88668,0.9328,0.54996,1.51287,0.64904,1.44187,0.0001586,0.0001586,0.0001586
95,2389.08,1.16668,0.51916,1.23907,0.84379,0.93035,0.93216,0.54941,1.49868,0.64769,1.44033,0.0001388,0.0001388,0.0001388
96,2412.96,1.15956,0.5032,1.23458,0.84795,0.92545,0.93468,0.54882,1.5017,0.64819,1.43638,0.000119,0.000119,0.000119
97,2437.21,1.16153,0.50785,1.23938,0.89684,0.88689,0.94079,0.54619,1.51531,0.63623,1.45365,9.92e-05,9.92e-05,9.92e-05
98,2461.09,1.14242,0.50291,1.22609,0.8883,0.90231,0.94362,0.55129,1.49953,0.64222,1.44111,7.94e-05,7.94e-05,7.94e-05
99,2484.96,1.15821,0.50596,1.23822,0.86773,0.91071,0.93665,0.54928,1.49764,0.63732,1.43903,5.96e-05,5.96e-05,5.96e-05
100,2508.74,1.14178,0.49835,1.22782,0.86303,0.92329,0.93717,0.55288,1.50005,0.6399,1.43978,3.98e-05,3.98e-05,3.98e-05
